{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
{E6AXIS: A1 7.031250E-04, A2 -90.00035, A3 90.00070, A4 5.731997E-03, A5 -4.695105E-04, A6 -8.641704E-04, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}
